yearSeason,idPlayer,namePlayer,nameTeam,typeEvent,typeAction,typeShot,dateGame,slugTeamHome,slugTeamAway,idGame,NumberHalf,zoneBasic,locationX,locationY,distanceShot,isShotAttempted,isShotMade,eventAction,catchLocation,finishingHand,
2023,0,Winters Grady,NW Rotary Rebels,Made Shot,Jump Shot,3PT Field Goal,20230430,NWRR,JL3,3,1,Corner Three,23.5,3,19.75+ ft.,TRUE,TRUE,C&S,Left CN,none,
2023,0,Winters Grady,NW Rotary Rebels,Made Shot,Jump Shot,3PT Field Goal,20230512,NWRR,TCP3,4,2,Above the Break Three,0,26,19.75+ ft.,TRUE,TRUE,C&S,Top of Key,none,
2023,0,Winters Grady,NW Rotary Rebels,Made Shot,Jump Shot,3PT Field Goal,20230512,NWRR,TCP3,4,2,Corner Three,23.5,3,19.75+ ft.,TRUE,TRUE,C&S,Left CN,none,
2023,0,Winters Grady,NW Rotary Rebels,Made Shot,Jump Shot,3PT Field Goal,20230513,NWRR,ME,5,1,Above the Break Three,-14,24,19.75+ ft.,TRUE,TRUE,C&S,Right Wing,none,
2023,0,Winters Grady,NW Rotary Rebels,Made Shot,Jump Shot,3PT Field Goal,20230513,NWRR,TU,6,2,Above the Break Three,-15,23,19.75+ ft.,TRUE,TRUE,C&S,Right Wing,none,
2023,0,Winters Grady,NW Rotary Rebels,Made Shot,Jump Shot,3PT Field Goal,20230514,NWRR,EE,7,2,Above the Break Three,18,22,19.75+ ft.,TRUE,TRUE,C&S,Left Wing,none,
2023,0,Winters Grady,NW Rotary Rebels,Made Shot,Jump Shot,3PT Field Goal,20230514,NWRR,EE,7,2,Above the Break Three,-3,27,19.75+ ft.,TRUE,TRUE,C&S,Top of Key,none,
2023,0,Winters Grady,NW Rotary Rebels,Made Shot,Jump Shot,3PT Field Goal,20230514,NWRR,EE,7,2,Corner Three,-22,18,19.75+ ft.,TRUE,TRUE,C&S,Right Wing,none,
2023,0,Winters Grady,NW Rotary Rebels,Made Shot,Jump Shot,3PT Field Goal,20230527,NWRR,LIV,9,2,Above the Break Three,-23.5,13,19.75+ ft.,TRUE,TRUE,C&S,Right Wing,none,
2023,0,Winters Grady,NW Rotary Rebels,Made Shot,Jump Shot,3PT Field Goal,20230527,NWRR,TWN,10,1,Above the Break Three,-12,23,19.75+ ft.,TRUE,TRUE,C&S,Right Wing,none,
2023,0,Winters Grady,NW Rotary Rebels,Made Shot,Jump Shot,3PT Field Goal,20230527,NWRR,TWN,10,2,Above the Break Three,17,23.5,19.75+ ft.,TRUE,TRUE,C&S,Left Wing,none,
